borough,month,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
Bronx,2018-01,LCL/LTD,BX13,Off-Peak,4619641,29585545.2,6.404295312
Bronx,2018-01,LCL/LTD,BX13,Peak,3222717,17675874,5.484773872
Bronx,2018-02,LCL/LTD,BX13,Off-Peak,4625125,29044656,6.279755898
Bronx,2018-02,LCL/LTD,BX13,Peak,3093108,16486905.6,5.330206899
Bronx,2018-03,LCL/LTD,BX13,Off-Peak,4914165,30714534,6.250204053
Bronx,2018-03,LCL/LTD,BX13,Peak,3204484,17180496,5.361392349
Bronx,2018-04,LCL/LTD,BX13,Off-Peak,4864147,30138786,6.196109205
Bronx,2018-04,LCL/LTD,BX13,Peak,3122692,16834140,5.390906308
Bronx,2018-05,LCL/LTD,BX13,Off-Peak,5082409,31147182,6.128428861
Bronx,2018-05,LCL/LTD,BX13,Peak,3274512,17473420.8,5.336190797
Bronx,2018-06,LCL/LTD,BX13,Off-Peak,5000978,30746973.6,6.148192134
Bronx,2018-06,LCL/LTD,BX13,Peak,3022563,16748859.6,5.541277254
Bronx,2018-07,LCL/LTD,BX13,Off-Peak,4926671,30397255.2,6.169938118
Bronx,2018-07,LCL/LTD,BX13,Peak,3003361,16580592,5.520678999
Bronx,2018-08,LCL/LTD,BX13,Off-Peak,5221295,31895611.2,6.108754859
Bronx,2018-08,LCL/LTD,BX13,Peak,2944128,16523031.6,5.61219879
Bronx,2018-09,LCL/LTD,BX13,Off-Peak,4597838,28467820.8,6.191566732
Bronx,2018-09,LCL/LTD,BX13,Peak,3173716,17037997.2,5.36846939
Bronx,2018-10,LCL/LTD,BX13,Off-Peak,5366009,33401246.4,6.224597536
Bronx,2018-10,LCL/LTD,BX13,Peak,3616974,19294372.8,5.334396321
Bronx,2018-11,LCL/LTD,BX13,Off-Peak,4666341,28967734.8,6.207804959
Bronx,2018-11,LCL/LTD,BX13,Peak,2979389,15864343.2,5.324696842
Bronx,2018-12,LCL/LTD,BX13,Off-Peak,4639372,28779260.4,6.20326639
Bronx,2018-12,LCL/LTD,BX13,Peak,2964616,15927012,5.372369305
Bronx,2019-01,LCL/LTD,BX13,Off-Peak,4924170,31822786.8,6.462568677
Bronx,2019-01,LCL/LTD,BX13,Peak,3532165,19078322.4,5.401311207
Bronx,2019-02,LCL/LTD,BX13,Off-Peak,4509746,28777176,6.381107938
Bronx,2019-02,LCL/LTD,BX13,Peak,3162399,16936189.2,5.35548778
Bronx,2019-03,LCL/LTD,BX13,Off-Peak,4892254,31216842,6.380871067
