borough,month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
Bronx,2018-01,Bronx,LCL/LTD,BX29,Off-Peak,1547571,23040525.6,14.88818645
Bronx,2018-01,Bronx,LCL/LTD,BX29,Peak,882662,12402882,14.05167777
Bronx,2018-02,Bronx,LCL/LTD,BX29,Off-Peak,1462757,22135971.6,15.1330478
Bronx,2018-02,Bronx,LCL/LTD,BX29,Peak,835374,11927898,14.27851238
Bronx,2018-03,Bronx,LCL/LTD,BX29,Off-Peak,1737189,26169699.6,15.06439403
Bronx,2018-03,Bronx,LCL/LTD,BX29,Peak,926285,13154796,14.20167227
Bronx,2018-04,Bronx,LCL/LTD,BX29,Off-Peak,1682551,25323523.2,15.05067199
Bronx,2018-04,Bronx,LCL/LTD,BX29,Peak,928152,13436190,14.4762819
Bronx,2018-05,Bronx,LCL/LTD,BX29,Off-Peak,1739415,25379175.6,14.59063858
Bronx,2018-05,Bronx,LCL/LTD,BX29,Peak,902132,12665322,14.03932241
Bronx,2018-06,Bronx,LCL/LTD,BX29,Off-Peak,1553039,22746110.4,14.64619395
Bronx,2018-06,Bronx,LCL/LTD,BX29,Peak,822420,11608074,14.11453272
Bronx,2018-07,Bronx,LCL/LTD,BX29,Off-Peak,1652502,23932094.4,14.48233914
Bronx,2018-07,Bronx,LCL/LTD,BX29,Peak,917286,12928190.4,14.09395805
Bronx,2018-08,Bronx,LCL/LTD,BX29,Off-Peak,1854648,27016786.8,14.56706976
Bronx,2018-08,Bronx,LCL/LTD,BX29,Peak,936980,13227847.2,14.11753421
Bronx,2018-09,Bronx,LCL/LTD,BX29,Off-Peak,1457818,21149319.6,14.50751712
Bronx,2018-09,Bronx,LCL/LTD,BX29,Peak,832429,11707110,14.06379403
Bronx,2018-10,Bronx,LCL/LTD,BX29,Off-Peak,1665005,24324404.4,14.60920802
Bronx,2018-10,Bronx,LCL/LTD,BX29,Peak,904307,12830439.6,14.18814584
Bronx,2018-11,Bronx,LCL/LTD,BX29,Off-Peak,1533253,22389228,14.60243548
Bronx,2018-11,Bronx,LCL/LTD,BX29,Peak,770713,10762963.2,13.96494311
Bronx,2018-12,Bronx,LCL/LTD,BX29,Off-Peak,1420546,21119022,14.8668343
Bronx,2018-12,Bronx,LCL/LTD,BX29,Peak,825122,11688519.6,14.16580772
Bronx,2019-01,Bronx,LCL/LTD,BX29,Off-Peak,1600338,24555654,15.34404232
Bronx,2019-01,Bronx,LCL/LTD,BX29,Peak,901903,13166719.2,14.59881961
Bronx,2019-02,Bronx,LCL/LTD,BX29,Off-Peak,1319838,19986256.8,15.14296209
Bronx,2019-02,Bronx,LCL/LTD,BX29,Peak,727255,10479704.4,14.40994479
Bronx,2019-03,Bronx,LCL/LTD,BX29,Off-Peak,1640351,24807693.6,15.12340566
Bronx,2019-03,Bronx,LCL/LTD,BX29,Peak,855776,12435508.8,14.53126613
Bronx,2019-04,Bronx,LCL/LTD,BX29,Off-Peak,1511922,22850168.4,15.11332489
Bronx,2019-04,Bronx,LCL/LTD,BX29,Peak,848095,12238092,14.43009569
Bronx,2019-05,Bronx,LCL/LTD,BX29,Off-Peak,1635657,24407582.4,14.9221887
Bronx,2019-05,Bronx,LCL/LTD,BX29,Peak,904391,12695720.4,14.03786681
Bronx,2019-06,Bronx,LCL/LTD,BX29,Off-Peak,1431548,21142706.4,14.76912154
Bronx,2019-06,Bronx,LCL/LTD,BX29,Peak,762329,10582624.8,13.8819654
Bronx,2019-07,Bronx,LCL/LTD,BX29,Off-Peak,1591086,23572890,14.81559765
Bronx,2019-07,Bronx,LCL/LTD,BX29,Peak,937972,13268336.4,14.14577024
Bronx,2019-08,Bronx,LCL/LTD,BX29,Off-Peak,1631914,24375978,14.93704815
Bronx,2019-08,Bronx,LCL/LTD,BX29,Peak,865862,12552447.6,14.49705334
Bronx,2019-09,Bronx,LCL/LTD,BX29,Off-Peak,1578763,23871423.6,15.12033383
Bronx,2019-09,Bronx,LCL/LTD,BX29,Peak,890473,12604878,14.1552613
Bronx,2019-10,Bronx,LCL/LTD,BX29,Off-Peak,1779285,27197632.8,15.28570903
Bronx,2019-10,Bronx,LCL/LTD,BX29,Peak,980798,13999752,14.27383824
Bronx,2019-11,Bronx,LCL/LTD,BX29,Off-Peak,1547972,23803794,15.37740605
