month,lcl_average_speed,sbs_average_speed
2018-01,7.176955402,7.990276623
2018-02,7.216153942,8.318819503
2018-03,7.171313929,8.242185696
2018-04,7.068806803,8.319664756
2018-05,7.006195409,8.095188766
2018-06,7.208986033,8.263001442
2018-07,7.273615388,8.49920249
2018-08,7.286211545,8.582175651
2018-09,7.023385528,8.256272435
2018-10,6.911792924,8.210898762
2018-11,6.917289636,8.195977708
2018-12,7.117250394,8.326241189
2019-01,7.017538021,8.532323159
2019-02,7.138568941,8.333341422
2019-03,7.085815402,8.190850098
2019-04,7.157452195,8.23920388
2019-05,6.989634921,8.129247188
2019-06,7.023814703,8.131891803
2019_07,7.212128461,8.358212685
2019-08,7.299766102,8.518924451
2019-09,6.907061218,8.093240212
2019-10,6.956417702,8.154047494
2019-11,6.974572632,8.162604045
2019-12,7.066651254,8.282497009
2020-01,7.155958628,8.460185845
2020-02,7.122372955,8.443969865
2020-03,7.539687558,8.988183528
2020-04,8.429308116,10.13786944
2020-05,8.181169812,9.736401725
2020-06,7.717766715,9.035724504
2020-07,7.604420777,8.790194098
2020-08,7.619076031,8.740520113
2020-09,7.529879317,8.663662955
2020-10,7.524873748,8.727047136
2020-11,7.595655868,8.760109259
2020-12,7.592787836,8.783358421
2021-01,7.766128741,9.04314409
2021-02,7.549400322,8.616095789
2021-03,7.576759606,8.625202106
2021-04,7.471129437,8.608922408
2021-05,7.433672802,8.525487149
2021-06,7.369468003,8.541729625
2021-07,7.398891563,8.455790699
2021-08,7.432932492,8.556695221
2021-09,7.088812612,8.170235738
2021-10,7.079191877,8.108234519
2021-11,7.143993818,8.184787183
2021-12,7.330476301,8.426027188
2022-01,7.443757354,8.541332352
2022-02,7.259704113,8.183970304
2022-03,7.19468947,8.140923902
