month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2015-01,Bronx,LCL/LTD,All,Off-Peak,229617229,1669828529,7.272226636
2015-01,Bronx,LCL/LTD,All,Peak,120918538,794577502.8,6.571180201
2015-02,Bronx,LCL/LTD,All,Off-Peak,219759479,1567144922,7.131182371
2015-02,Bronx,LCL/LTD,All,Peak,113175196,720080247.6,6.362527065
2015-03,Bronx,LCL/LTD,All,Off-Peak,255703999,1823421517,7.130985531
2015-03,Bronx,LCL/LTD,All,Peak,131970454,845193369.6,6.404413594
2015-04,Bronx,LCL/LTD,All,Off-Peak,259914338,1867966448,7.186854187
2015-04,Bronx,LCL/LTD,All,Peak,134645479,885639153.6,6.577563244
2015-05,Bronx,LCL/LTD,All,Off-Peak,242279586,1718886679,7.094640979
2015-05,Bronx,LCL/LTD,All,Peak,125141913,811645110,6.485797528
2015-06,Bronx,LCL/LTD,All,Off-Peak,263215652,1877406685,7.132579962
2015-06,Bronx,LCL/LTD,All,Peak,137326959,902455696.8,6.571584366
2015-07,Bronx,LCL/LTD,All,Off-Peak,265378843,1915775917,7.219022796
2015-07,Bronx,LCL/LTD,All,Peak,138222298,930179415.6,6.729590153
2015-08,Bronx,LCL/LTD,All,Off-Peak,255045206,1845943063,7.237709315
2015-08,Bronx,LCL/LTD,All,Peak,133117589,901423753.2,6.771635213
2015-09,Bronx,LCL/LTD,All,Off-Peak,261585877,1863277538,7.123005109
2015-09,Bronx,LCL/LTD,All,Peak,134555811,878726718,6.530574276
2015-10,Bronx,LCL/LTD,All,Off-Peak,273456357,1948232304,7.124472531
2015-10,Bronx,LCL/LTD,All,Peak,143539971,915390442.8,6.377251134
2015-11,Bronx,LCL/LTD,All,Off-Peak,223269581,1590352394,7.123014193
2015-11,Bronx,LCL/LTD,All,Peak,116663132,742539304.8,6.364815448
2015-12,Bronx,LCL/LTD,All,Off-Peak,259940671,1860057022,7.155698315
2015-12,Bronx,LCL/LTD,All,Peak,123115236,800527824,6.502264464
2016-01,Bronx,LCL/LTD,All,Off-Peak,232162082,1664094798,7.16781476
2016-01,Bronx,LCL/LTD,All,Peak,121295941,778349509.2,6.416946048
2016-02,Bronx,LCL/LTD,All,Off-Peak,250672433,1804629031,7.199152334
2016-02,Bronx,LCL/LTD,All,Peak,132284378,860848624.8,6.50756074
2016-03,Bronx,LCL/LTD,All,Off-Peak,279607964,2001247610,7.157334082
2016-03,Bronx,LCL/LTD,All,Peak,145076188,942516129.6,6.49669765
2016-04,Bronx,LCL/LTD,All,Off-Peak,256065332,1828183939,7.139521484
2016-04,Bronx,LCL/LTD,All,Peak,135108263,877026164.4,6.491284433
2016-05,Bronx,LCL/LTD,All,Off-Peak,252644924,1779526361,7.04358644
2016-05,Bronx,LCL/LTD,All,Peak,132270264,844849386,6.387296437
2016-06,Bronx,LCL/LTD,All,Off-Peak,262016657,1843910906,7.037380476
2016-06,Bronx,LCL/LTD,All,Peak,137066711,890470422,6.496620627
2016-07,Bronx,LCL/LTD,All,Off-Peak,235139833,1682146080,7.153811664
2016-07,Bronx,LCL/LTD,All,Peak,123305202,818359358.4,6.636859963
2016-08,Bronx,LCL/LTD,All,Off-Peak,269738742,1943278182,7.204297638
2016-08,Bronx,LCL/LTD,All,Peak,142666399,963045824.4,6.750333864
2016-09,Bronx,LCL/LTD,All,Off-Peak,245513752,1728342436,7.03969705
2016-09,Bronx,LCL/LTD,All,Peak,130049004,827229049.2,6.360902612
2016-10,Bronx,LCL/LTD,All,Off-Peak,248785211,1763174542,7.087135664
2016-10,Bronx,LCL/LTD,All,Peak,130919813,840573295.2,6.420520133
2016-11,Bronx,LCL/LTD,All,Off-Peak,235003186,1656737953,7.049853159
2016-11,Bronx,LCL/LTD,All,Peak,122267675,768454700.4,6.285019327
2016-12,Bronx,LCL/LTD,All,Off-Peak,235635900,1679194109,7.126223588
2016-12,Bronx,LCL/LTD,All,Peak,121493352,777929529.6,6.403062528
2017-01,Bronx,LCL/LTD,All,Off-Peak,246104262,1746163040,7.095216581
2017-01,Bronx,LCL/LTD,All,Peak,130704200,832622094,6.370278032
2017-02,Bronx,LCL/LTD,All,Off-Peak,228719247,1608913480,7.034447257
2017-02,Bronx,LCL/LTD,All,Peak,119810774,756862934.4,6.317152533
2017-03,Bronx,LCL/LTD,All,Off-Peak,266526023,1863114606,6.990366588
2017-03,Bronx,LCL/LTD,All,Peak,136512238,854109478.8,6.256651355
2017-04,Bronx,LCL/LTD,All,Off-Peak,241462848,1698703240,7.035050127
2017-04,Bronx,LCL/LTD,All,Peak,124954646,806298804,6.45273169
2017-05,Bronx,LCL/LTD,All,Off-Peak,262382187,1823697554,6.950538736
2017-05,Bronx,LCL/LTD,All,Peak,131961461,834048205.2,6.320392324
2017-06,Bronx,LCL/LTD,All,Off-Peak,257523496,1789404041,6.948507878
2017-06,Bronx,LCL/LTD,All,Peak,134756430,863075358,6.404706313
2017-07,Bronx,LCL/LTD,All,Off-Peak,234746730,1656343714,7.055875554
2017-07,Bronx,LCL/LTD,All,Peak,124311594,815286078,6.5584074
2017-08,Bronx,LCL/LTD,All,Off-Peak,270105587,1920341898,7.1095971
2017-08,Bronx,LCL/LTD,All,Peak,142751376,946953669.6,6.633586983
2017-09,Bronx,LCL/LTD,All,Off-Peak,233674702,1620456239,6.934666975
2017-09,Bronx,LCL/LTD,All,Peak,120674901,760049031.6,6.298319081
2017-10,Bronx,LCL/LTD,All,Off-Peak,256739813,1795237733,6.99243998
2017-10,Bronx,LCL/LTD,All,Peak,131591099,826038237.6,6.277310881
2017-11,Bronx,LCL/LTD,All,Off-Peak,235032810,1650847039,7.023900362
2017-11,Bronx,LCL/LTD,All,Peak,118877699,747215960.4,6.285585662
2017-12,Bronx,LCL/LTD,All,Off-Peak,228573946,1622713320,7.099292585
2017-12,Bronx,LCL/LTD,All,Peak,113119128,726249099.6,6.420214799
2018-01,Bronx,LCL/LTD,BX1,Off-Peak,9743032,67556865.6,6.933864694
2018-01,Bronx,LCL/LTD,BX1,Peak,4758460,31378824,6.594323374
2018-01,Bronx,LCL/LTD,BX10,Off-Peak,6951834,60727420.8,8.735453234
2018-01,Bronx,LCL/LTD,BX10,Peak,3973401,30073417.2,7.568684157
2018-01,Bronx,LCL/LTD,BX11,Off-Peak,7838247,49132908,6.268354136
2018-01,Bronx,LCL/LTD,BX11,Peak,4803899,25810772.4,5.372879904
2018-01,Bronx,LCL/LTD,BX12,Off-Peak,5102846,46394337.6,9.091855329
2018-01,Bronx,LCL/LTD,BX12,Peak,2531099,19199318.4,7.585368411
2018-01,Bronx,LCL/LTD,BX13,Off-Peak,4619641,29585545.2,6.404295312
2018-01,Bronx,LCL/LTD,BX13,Peak,3222717,17675874,5.484773872
2018-01,Bronx,LCL/LTD,BX15,Off-Peak,11738229,73177131.6,6.234086215
2018-01,Bronx,LCL/LTD,BX15,Peak,5166199,27756831.6,5.37277631
2018-01,Bronx,LCL/LTD,BX16,Off-Peak,4719908,44368700.4,9.400331617
2018-01,Bronx,LCL/LTD,BX16,Peak,2751233,23374864.8,8.496141475
2018-01,Bronx,LCL/LTD,BX17,Off-Peak,6265483,44756701.2,7.143376049
2018-01,Bronx,LCL/LTD,BX17,Peak,3636399,23062338,6.342081273
2018-01,Bronx,LCL/LTD,BX19,Off-Peak,10435925,57652279.2,5.524405283
2018-01,Bronx,LCL/LTD,BX19,Peak,4430421,22049006.4,4.97672939
2018-01,Bronx,LCL/LTD,BX2,Off-Peak,9774995,55395450,5.667056607
2018-01,Bronx,LCL/LTD,BX2,Peak,4938311,27334353.6,5.535162447
2018-01,Bronx,LCL/LTD,BX20,Off-Peak,159719,1296961.2,8.120268722
2018-01,Bronx,LCL/LTD,BX20,Peak,712482,5512593.6,7.737168939
2018-01,Bronx,LCL/LTD,BX21,Off-Peak,9400062,65919884.4,7.012707406
2018-01,Bronx,LCL/LTD,BX21,Peak,3913846,24175879.2,6.177013403
2018-01,Bronx,LCL/LTD,BX22,Off-Peak,5849008,37710316.8,6.447301286
2018-01,Bronx,LCL/LTD,BX22,Peak,3459561,20004966,5.782515759
2018-01,Bronx,LCL/LTD,BX23,Off-Peak,2440112,28397203.2,11.63766384
2018-01,Bronx,LCL/LTD,BX23,Peak,2175135,23412700.8,10.76379204
2018-01,Bronx,LCL/LTD,BX24,Off-Peak,1262770,11721117.6,9.282068469
2018-01,Bronx,LCL/LTD,BX24,Peak,454906,3846016.8,8.454530826
2018-01,Bronx,LCL/LTD,BX26,Off-Peak,4616394,33686197.2,7.297080189
2018-01,Bronx,LCL/LTD,BX26,Peak,2610696,17252197.2,6.608275035
2018-01,Bronx,LCL/LTD,BX27,Off-Peak,3545143,26843702.4,7.571966039
2018-01,Bronx,LCL/LTD,BX27,Peak,2388801,16303122,6.824813787
2018-01,Bronx,LCL/LTD,BX28,Off-Peak,6699027,49506498,7.390102772
2018-01,Bronx,LCL/LTD,BX28,Peak,2426187,15236391.6,6.279974132
2018-01,Bronx,LCL/LTD,BX29,Off-Peak,1547571,23040525.6,14.88818645
2018-01,Bronx,LCL/LTD,BX29,Peak,882662,12402882,14.05167777
2018-01,Bronx,LCL/LTD,BX3,Off-Peak,6614692,48711258,7.364100702
2018-01,Bronx,LCL/LTD,BX3,Peak,3320946,20855232,6.27990699
2018-01,Bronx,LCL/LTD,BX30,Off-Peak,5702808,42958908,7.532939562
2018-01,Bronx,LCL/LTD,BX30,Peak,3455510,24129360,6.982865047
2018-01,Bronx,LCL/LTD,BX31,Off-Peak,6743672,53051058,7.866790971
2018-01,Bronx,LCL/LTD,BX31,Peak,3316158,23176573.2,6.988983396
2018-01,Bronx,LCL/LTD,BX32,Off-Peak,4886127,29123301.6,5.960406187
2018-01,Bronx,LCL/LTD,BX32,Peak,2636554,14163022.8,5.371793182
2018-01,Bronx,LCL/LTD,BX33,Off-Peak,1921632,13706373.6,7.132673478
2018-01,Bronx,LCL/LTD,BX33,Peak,991467,5553853.2,5.601652097
2018-01,Bronx,LCL/LTD,BX34,Off-Peak,2913004,23228870.4,7.974197907
