month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2015-01,Bronx,SBS,All,Off-Peak,14892618,145280988,9.755234976
2015-01,Bronx,SBS,All,Peak,8365897,73966341.6,8.841411937
2015-02,Bronx,SBS,All,Off-Peak,13254101,123687835.2,9.332042603
2015-02,Bronx,SBS,All,Peak,7003681,58691088,8.380034442
2015-03,Bronx,SBS,All,Off-Peak,16851380,157776346.8,9.362814606
2015-03,Bronx,SBS,All,Peak,8847629,75058509.6,8.483460326
2015-04,Bronx,SBS,All,Off-Peak,16136761,155685279.6,9.647864252
2015-04,Bronx,SBS,All,Peak,8816076,78153674.4,8.864904794
2015-05,Bronx,SBS,All,Off-Peak,15581038,147791667.6,9.485354416
2015-05,Bronx,SBS,All,Peak,8169960,71738650.8,8.780783602
2015-06,Bronx,SBS,All,Off-Peak,16914186,158310331.2,9.359618677
2015-06,Bronx,SBS,All,Peak,8906023,78790413.6,8.846868417
2015-07,Bronx,SBS,All,Off-Peak,15872868,147910755.6,9.318464414
2015-07,Bronx,SBS,All,Peak,8145974,72493549.2,8.899310162
2015-08,Bronx,SBS,All,Off-Peak,15515472,146830780.8,9.463507188
2015-08,Bronx,SBS,All,Peak,7896396,71544661.2,9.060419614
2015-09,Bronx,SBS,All,Off-Peak,14944784,142960161.6,9.565890119
2015-09,Bronx,SBS,All,Peak,8118417,71381142,8.792495138
2015-10,Bronx,SBS,All,Off-Peak,17539605,168462914.4,9.604715408
2015-10,Bronx,SBS,All,Peak,9813798,84491798.4,8.609490271
2015-11,Bronx,SBS,All,Off-Peak,13994029,135158637.6,9.658307668
2015-11,Bronx,SBS,All,Peak,7863544,67628728.8,8.600286181
2015-12,Bronx,SBS,All,Off-Peak,16347118,154988452.8,9.481087296
2015-12,Bronx,SBS,All,Peak,7953371,69051672,8.682063492
2016-01,Bronx,SBS,All,Off-Peak,14434684,140660701.2,9.744633218
2016-01,Bronx,SBS,All,Peak,8053480,71012332.8,8.817595971
2016-02,Bronx,SBS,All,Off-Peak,16120308,156541953.6,9.710853763
2016-02,Bronx,SBS,All,Peak,8818004,78027894,8.848702495
2016-03,Bronx,SBS,All,Off-Peak,18472373,177324206.4,9.599427556
2016-03,Bronx,SBS,All,Peak,9905752,87387908.4,8.821935821
2016-04,Bronx,SBS,All,Off-Peak,16595339,157518442.8,9.491727936
2016-04,Bronx,SBS,All,Peak,8991196,79586445.6,8.851597229
2016-05,Bronx,SBS,All,Off-Peak,16837193,157953970.8,9.381253205
2016-05,Bronx,SBS,All,Peak,9095892,78785240.4,8.661628832
2016-06,Bronx,SBS,All,Off-Peak,16954088,158320944,9.338216482
2016-06,Bronx,SBS,All,Peak,9177376,80759224.8,8.799816505
2016-07,Bronx,SBS,All,Off-Peak,14762091,138815456.4,9.403509056
2016-07,Bronx,SBS,All,Peak,7487878,67851878.4,9.061563022
2016-08,Bronx,SBS,All,Off-Peak,17016049,160485940.8,9.431445619
2016-08,Bronx,SBS,All,Peak,8837084,81365983.2,9.207333912
2016-09,Bronx,SBS,All,Off-Peak,15582506,145134356.4,9.31392912
2016-09,Bronx,SBS,All,Peak,8601593,73127372.4,8.501608063
2016-10,Bronx,SBS,All,Off-Peak,15834436,149242150.8,9.425163662
2016-10,Bronx,SBS,All,Peak,8776403,75289989.6,8.578684183
2016-11,Bronx,SBS,All,Off-Peak,14853741,138606285.6,9.331405846
2016-11,Bronx,SBS,All,Peak,8032518,66626679.6,8.294619396
2016-12,Bronx,SBS,All,Off-Peak,14850501,137473196.4,9.257141991
2016-12,Bronx,SBS,All,Peak,7661806,63639169.2,8.306027221
2017-01,Bronx,SBS,All,Off-Peak,15849807,151440606,9.554728711
2017-01,Bronx,SBS,All,Peak,8717684,74876162.4,8.588997078
2017-02,Bronx,SBS,All,Off-Peak,14099130,131480121.6,9.325406717
2017-02,Bronx,SBS,All,Peak,7717538,65320588.8,8.463915409
2017-03,Bronx,SBS,All,Off-Peak,15530394,142163121.6,9.153864454
2017-03,Bronx,SBS,All,Peak,8270651,67963107.6,8.217383081
2017-04,Bronx,SBS,All,Off-Peak,15363257,142675164,9.286778448
2017-04,Bronx,SBS,All,Peak,8220799,71251614,8.66723709
2017-05,Bronx,SBS,All,Off-Peak,16395421,151459380,9.23790734
2017-05,Bronx,SBS,All,Peak,8331493,71200440,8.545940085
2017-06,Bronx,SBS,All,Off-Peak,16048531,147825043.2,9.211126127
2017-06,Bronx,SBS,All,Peak,8334905,72146732.4,8.655975371
2017-07,Bronx,SBS,All,Off-Peak,15408915,143619649.2,9.320555613
2017-07,Bronx,SBS,All,Peak,8003917,71967592.8,8.991546614
2017-08,Bronx,SBS,All,Off-Peak,17743918,167053726.8,9.414703494
2017-08,Bronx,SBS,All,Peak,9215116,84881502,9.211115953
2017-09,Bronx,SBS,All,Off-Peak,18512782,164299845.6,8.874940871
2017-09,Bronx,SBS,All,Peak,10151861,80922844.8,7.971232545
2017-10,Bronx,SBS,All,Off-Peak,21921717,194295038.4,8.863130493
2017-10,Bronx,SBS,All,Peak,11854574,93753540,7.908638472
2017-11,Bronx,SBS,All,Off-Peak,18968209,168907766.4,8.904782017
2017-11,Bronx,SBS,All,Peak,10365322,80926484.4,7.807425992
