month,lcl_average_speed,sbs_average_speed
2015-01,6.571180201,8.841411937
2015-02,6.362527065,8.380034442
2015-03,6.404413594,8.483460326
2015-04,6.577563244,8.864904794
2015-05,6.485797528,8.780783602
2015-06,6.571584366,8.846868417
2015-07,6.729590153,8.899310162
2015-08,6.771635213,9.060419614
2015-09,6.530574276,8.792495138
2015-10,6.377251134,8.609490271
2015-11,6.364815448,8.600286181
2015-12,6.502264464,8.682063492
2016-01,6.416946048,8.817595971
2016-02,6.50756074,8.848702495
2016-03,6.49669765,8.821935821
2016-04,6.491284433,8.851597229
2016-05,6.387296437,8.661628832
2016-06,6.496620627,8.799816505
2016-07,6.636859963,9.061563022
2016-08,6.750333864,9.207333912
2016-09,6.360902612,8.501608063
2016-10,6.420520133,8.578684183
2016-11,6.285019327,8.294619396
2016-12,6.403062528,8.306027221
2017-01,6.370278032,8.588997078
2017-02,6.317152533,8.463915409
2017-03,6.256651355,8.217383081
2017-04,6.45273169,8.66723709
2017-05,6.320392324,8.545940085
2017-06,6.404706313,8.655975371
2017-07,6.5584074,8.991546614
2017-08,6.633586983,9.211115953
2017-09,6.298319081,7.971232545
2017-10,6.277310881,7.908638472
2017-11,6.285585662,7.807425992
2017-12,6.420214799,8.006433056
2018-01,6.594323374,8.65668457
2018-01,7.568684157,8.004656026
2018-01,5.372879904,6.853104721
2018-02,7.585368411,8.696791545
2018-02,5.484773872,8.168911941
2018-02,5.37277631,6.815380657
2018-03,8.496141475,8.588949678
2018-03,6.342081273,8.120859076
2018-03,4.97672939,6.78043189
2018-04,5.535162447,8.776541995
2018-04,7.737168939,8.050355615
2018-04,6.177013403,6.927781385
2018-05,5.782515759,8.349019664
2018-05,10.76379204,7.902029403
2018-05,8.454530826,6.854081106
2018-06,6.608275035,8.692343635
2018-06,6.824813787,8.238130144
2018-06,6.279974132,7.013081282
2018-07,14.05167777,9.413468153
2018-07,6.27990699,8.473991858
2018-07,6.982865047,6.97741657
2018-08,6.988983396,9.580155147
2018-08,5.371793182,8.540199467
2018-08,5.601652097,7.144956697
2018-09,6.871875352,8.599186656
2018-09,5.134400394,8.103255781
2018-09,5.909637852,6.757499309
2018-10,6.593519434,8.327498733
2018-10,6.21375485,8.017692568
2018-10,5.944779488,6.835447994
2018-11,5.887670555,8.306864093
2018-11,6.643286534,8.031952118
2018-11,5.871296429,6.816504931
2018-12,9.213796094,8.634819906
2018-12,5.829402961,8.267578817
2018-12,7.811935016,6.98845547
2019-01,6.043682418,8.867125514
2019-01,6.088534871,8.512036637
2019-01,7.908386157,6.857537606
2019-02,5.71089626,8.642932901
2019-02,6.641521571,8.295555675
2019-02,7.630736863,6.807504269
2019-03,5.307622082,8.397665506
2019-03,7.618844116,8.113442093
2019-03,5.330206899,6.760404691
2019-04,5.386893378,8.661569727
2019-04,8.632937458,8.297245198
2019-04,6.339097598,6.823827052
2019-05,4.939785072,8.171828547
2019-05,5.524527768,8.439018283
2019-05,7.803733001,6.712233906
2019-06,6.133812687,8.358864066
2019-06,5.811442121,8.440310445
2019-06,10.99691067,6.660606561
2019-07,8.779798745,8.804326847
2019-07,6.633004763,8.878771888
2019-07,6.835091123,6.874865005
2019-08,6.349638299,9.126801439
2019-08,14.27851238,9.065430631
2019-08,6.229432053,6.982529277
2019-09,7.065395935,8.108265771
2019-09,7.092967017,8.343821307
2019-09,5.377324575,6.682767891
2019-10,5.545632177,8.200980231
2019-10,6.966287106,8.267859261
2019-10,5.162359558,6.746387667
2019-11,5.902205341,8.244631352
2019-11,6.822127699,8.230028729
2019-11,6.19174499,6.681036292
2019-12,5.965645398,8.61807806
2019-12,5.896706088,8.342424888
2019-12,6.739830117,6.872748219
2020-01,5.883588941,8.75973914
2020-01,9.237796546,8.454346749
2020-01,5.809667375,6.986796687
2020-02,7.941579866,8.755458431
2020-02,6.04223862,8.474005789
2020-02,6.068801773,6.972755403
2020-03,7.929811134,9.550814706
2020-03,5.691267389,9.245483194
2020-03,6.645056971,7.417833121
2020-04,7.615799693,10.89072899
2020-04,5.241435577,10.7474708
2020-04,7.579591999,8.795022088
2020-05,5.361392349,10.37603871
2020-05,5.368610811,10.19462068
2020-05,8.723354151,8.599561865
2020-06,6.286923831,9.855571577
2020-06,4.947296559,9.446782846
2020-06,5.548386596,7.597291744
2020-07,7.65166904,9.667562668
2020-07,6.051780233,9.08272787
2020-07,5.789794735,7.307168191
2020-08,10.87958659,9.703318859
2020-08,8.583004648,8.976403089
2020-08,6.528934338,7.291386963
2020-09,6.629434344,9.359574609
2020-09,6.282008783,8.874488566
2020-09,14.20167227,7.276478608
2020-10,6.210040535,9.361946578
2020-10,7.02688189,8.950660312
2020-10,7.06083863,7.256278436
2020-11,5.332718497,9.472879106
2020-11,5.475051925,8.874245009
2020-11,7.161301024,7.241922421
2020-12,5.025284188,9.656306576
2020-12,5.845087151,8.877157281
2020-12,6.680020914,7.345118154
2021-01,6.141949028,9.918377476
2021-01,5.903197672,9.289258779
2021-01,5.847896343,7.394332463
2021-02,6.672193189,9.316706288
2021-02,5.855943951,8.868914124
2021-02,9.731909179,7.215704994
2021-03,5.793159786,9.307888724
2021-03,7.804427335,8.97844114
2021-03,6.040585038,7.194177822
2021-04,6.135980287,9.410929633
2021-04,7.834240135,9.016024831
2021-04,5.742731329,7.119502301
2021-05,6.597786331,9.404718949
2021-05,7.68275694,8.814318256
2021-05,5.328112132,7.089535952
2021-06,7.615568005,9.602535493
2021-06,5.390906308,8.759523354
2021-06,5.495004612,7.04256375
2021-07,8.569465475,9.373344009
2021-07,6.372834582,8.783069235
2021-07,4.923643303,7.098948979
2021-08,5.456596714,9.413730652
2021-08,7.29167457,8.863339336
2021-08,6.219961294,7.173299933
2021-09,6.113786855,8.771793711
2021-09,4.788963826,7.94424345
2021-09,5.710957352,7.045596853
2021-10,11.05801677,8.609689565
2021-10,8.271925185,7.843306758
2021-10,6.444895721,6.795480103
2021-11,6.694778656,8.687525162
2021-11,6.265598966,7.93143308
2021-11,14.4762819,6.753710125
2021-12,6.304851347,9.014223703
2021-12,6.93951507,8.229286721
2021-12,7.007210605,7.053036843
2022-01,5.370127566,9.328342392
2022-01,5.634552355,8.284251564
2022-01,6.96442812,7.078808422
2022-02,5.231135491,8.675370115
2022-02,1.510332149,7.902557155
2022-02,5.875905013,6.787555616
2022-03,6.621104171,8.752760467
2022-03,6.122559311,8.027173765
2022-03,5.845365297,6.686323369
,5.88197993,
,6.611570073,
,5.796537462,
,9.889169172,
,5.752373783,
,7.780806847,
,6.131679456,
,6.156135237,
,7.826917535,
,5.741601842,
,6.380976941,
,7.269949176,
,5.212813146,
,7.088437078,
,5.336190797,
,5.343317659,
,7.625542469,
,6.123488465,
,4.868933969,
,5.335530154,
,7.200318525,
,7.839912221,
,5.857539976,
,5.451881236,
,10.76794885,
,8.188522818,
,6.180807265,
,6.490924727,
,5.954197429,
,14.03932241,
,6.147028797,
,6.630939175,
,6.899173152,
,5.271326007,
,5.340284497,
,6.160231,
,5.136134154,
,5.724183583,
,6.114407427,
,5.87336829,
,5.707665464,
,5.734452302,
,6.514569192,
,5.695061683,
,9.771574415,
,5.663870789,
,7.481220271,
,6.06598085,
,6.031519549,
,7.754815314,
,5.60511222,
,6.581193215,
,7.658455146,
,5.500527656,
,7.402758362,
,5.541277254,
,5.486065172,
,7.936415565,
,6.318236019,
,4.910146924,
,5.44649204,
,7.491292567,
,5.51487503,
,6.080898336,
,5.741205043,
,10.95674112,
,8.319724652,
,6.560313832,
,6.680588034,
,6.219268166,
,14.11453272,
,5.152654305,
,6.444571054,
,6.986310928,
,7.078214149,
,5.368092588,
,5.55455152,
,6.556166057,
,5.404660667,
,5.909804861,
,6.522077475,
,6.13680744,
,5.981281539,
,5.851802594,
,6.662934918,
,5.76227748,
,9.417998044,
,5.791333822,
,7.733356236,
,6.280953681,
,6.178464242,
,7.9445966,
,5.705350215,
,6.720784957,
,7.63948746,
,5.530480159,
,9.525710216,
,5.520678999,
,5.601244488,
,8.151090608,
,6.452787837,
,4.93109565,
,5.515770071,
,7.83467994,
,7.53694871,
,6.246307177,
,5.937562134,
,11.2275165,
,8.765914149,
,6.795239074,
,6.951822544,
,6.361043682,
,14.09395805,
,6.53190621,
,7.142435398,
,7.200653883,
,5.479669537,
,5.937984699,
,6.58806496,
,5.555327105,
,6.015220207,
,6.747617762,
,6.334889406,
,6.008736274,
,6.00159744,
,6.946169746,
,6.053570046,
,9.866597564,
,5.833382062,
,8.307821233,
,6.257633048,
,6.245571253,
,7.804112862,
,5.896920503,
,6.704189539,
,7.774479447,
,5.553190701,
,9.644273701,
,5.61219879,
,5.556027597,
,8.327115021,
,6.484857904,
,4.946668946,
,5.495483449,
,7.957258674,
,5.954630715,
,6.291858155,
,6.040016951,
,11.34586361,
,8.810514347,
,6.928718383,
,6.956172697,
,6.44148821,
,14.11753421,
,6.626991891,
,7.287799288,
,7.311164554,
,5.479714514,
,6.03014591,
,6.753829487,
,5.611404144,
,6.049529876,
,6.993260776,
,6.255586272,
,6.039022128,
,5.985137768,
,6.907233571,
,6.008328183,
,10.41676989,
,5.902569996,
,8.387440132,
,6.296870512,
,6.292004533,
,7.828229537,
,5.875032546,
,6.350913385,
,7.285981007,
,5.261110158,
,7.505891975,
,5.36846939,
,5.309887956,
,7.777649048,
,6.063462714,
,4.869430886,
,5.298111853,
,7.427015924,
,6.765942245,
,6.001407192,
,5.60298063,
,10.8725161,
,8.208314194,
,6.234541355,
,6.446570947,
,5.926162582,
,14.06379403,
,6.29831448,
,6.565994159,
,6.993718049,
,5.145067592,
,5.418295788,
,6.339114296,
,5.248376604,
,5.774319155,
,6.135675698,
,5.872591505,
,5.558902428,
,5.729242509,
,6.589097926,
,5.736315761,
,9.657692022,
,5.592222349,
,7.628224818,
,16.08859935,
,6.010105768,
,6.161704826,
,3.835223432,
,7.636894285,
,5.661134255,
,6.34279681,
,7.177498377,
,5.249086602,
,4.644934413,
,7.368241599,
,5.334396321,
,5.33735232,
,7.735741047,
,6.062323747,
,4.88241994,
,5.412810978,
,7.204978098,
,7.231458774,
,5.916920876,
,5.561190863,
,10.80608673,
,8.0884284,
,6.340047773,
,6.499072304,
,5.924915115,
,14.18814584,
,6.197698948,
,6.579666392,
,6.896986774,
,5.218436505,
,5.414440376,
,6.378847577,
,4.256764428,
,5.138287329,
,5.753610209,
,6.138652209,
,5.925001558,
,5.6702695,
,5.69952784,
,6.505380069,
,5.660652299,
,9.823422919,
,5.617476794,
,7.429937784,
,8.65313569,
,6.039339938,
,6.046358757,
,7.579290625,
,5.57481384,
,6.287964302,
,7.087478072,
,5.330124425,
,7.290401571,
,5.324696842,
,5.366740909,
,7.604871853,
,6.156748327,
,4.891298795,
,5.360168292,
,7.153653662,
,10.37813765,
,6.012944377,
,5.469848851,
,10.69166414,
,8.103014285,
,6.290032642,
,6.479655492,
,5.900574555,
,13.96494311,
,6.171452813,
,6.552044072,
,6.857597392,
,5.18417704,
,5.340886823,
,6.361113795,
,2.558978573,
,5.226743354,
,5.737695642,
,6.147909811,
,5.947071644,
,5.582268847,
,5.735235207,
,6.529756469,
,5.726065347,
,9.58916146,
,5.613748728,
,7.422242623,
,4.161695488,
,6.068372204,
,6.010825109,
,7.620148138,
,5.643206899,
,6.456092152,
,7.559339612,
,5.374929979,
,7.504072415,
,5.372369305,
,5.464893827,
,8.469661828,
,6.307877707,
,5.04935143,
,5.729161921,
,7.549286936,
,5.700536125,
,6.087991395,
,5.692786284,
,10.68608417,
,8.168919773,
,6.550997821,
,6.724318437,
,6.184552246,
,14.16580772,
,6.287283383,
,6.897213008,
,7.038979022,
,5.367749074,
,5.593568247,
