month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2015-01,Bronx,EXP,All,Off-Peak,23377505,321503299.2,13.75267802
2015-01,Bronx,EXP,All,Peak,20199673,235794636,11.67319075
2015-01,Bronx,LCL/LTD,All,Off-Peak,229617229,1669828529,7.272226636
2015-01,Bronx,LCL/LTD,All,Peak,120918538,794577502.8,6.571180201
2015-01,Bronx,SBS,All,Off-Peak,14892618,145280988,9.755234976
2015-01,Bronx,SBS,All,Peak,8365897,73966341.6,8.841411937
2015-01,Brooklyn,EXP,All,Off-Peak,8822388,118169593.2,13.39428658
2015-01,Brooklyn,EXP,All,Peak,10116757,126705538.8,12.52432363
2015-01,Brooklyn,LCL/LTD,All,Off-Peak,359370297,2672619073,7.436950398
2015-01,Brooklyn,LCL/LTD,All,Peak,185443059,1225439665,6.608172189
2015-01,Brooklyn,SBS,All,Off-Peak,9276368,84666240,9.127089395
2015-01,Brooklyn,SBS,All,Peak,5599491,47818022.4,8.53970877
2015-01,Manhattan,LCL/LTD,All,Off-Peak,203761130,1216613642,5.970783743
2015-01,Manhattan,LCL/LTD,All,Peak,103735521,560559290.4,5.403735239
2015-01,Manhattan,SBS,All,Off-Peak,21040265,180434721.6,8.575686742
2015-01,Manhattan,SBS,All,Peak,10694690,81449888.4,7.615918591
2015-01,Queens,EXP,All,Off-Peak,6826482,97430533.2,14.27243684
2015-01,Queens,EXP,All,Peak,13279387,167491195.2,12.612871
2015-01,Queens,LCL/LTD,All,Off-Peak,369625054,3485005034,9.428487048
2015-01,Queens,LCL/LTD,All,Peak,200485387,1693481263,8.446906224
2015-01,Staten Island,EXP,All,Off-Peak,27557820,479435090.4,17.39742441
2015-01,Staten Island,EXP,All,Peak,26407005,431023726.8,16.32232534
2015-01,Staten Island,LCL/LTD,All,Off-Peak,48248239,587041826.4,12.16711405
2015-01,Staten Island,LCL/LTD,All,Peak,25862857,302808452.4,11.70823674
2015-01,Staten Island,SBS,All,Off-Peak,8299001,128142309.6,15.44069095
2015-01,Staten Island,SBS,All,Peak,5149806,76708548,14.8954248
2015-02,Bronx,EXP,All,Off-Peak,23743458,309575188.8,13.03833624
2015-02,Bronx,EXP,All,Peak,20060691,219833269.2,10.95840962
2015-02,Bronx,LCL/LTD,All,Off-Peak,219759479,1567144922,7.131182371
2015-02,Bronx,LCL/LTD,All,Peak,113175196,720080247.6,6.362527065
2015-02,Bronx,SBS,All,Off-Peak,13254101,123687835.2,9.332042603
2015-02,Bronx,SBS,All,Peak,7003681,58691088,8.380034442
2015-02,Brooklyn,EXP,All,Off-Peak,8674500,113035777.2,13.03081183
2015-02,Brooklyn,EXP,All,Peak,9797497,117139186.8,11.95603191
2015-02,Brooklyn,LCL/LTD,All,Off-Peak,345088100,2522739337,7.310421128
2015-02,Brooklyn,LCL/LTD,All,Peak,173498059,1116950357,6.43782624
2015-02,Brooklyn,SBS,All,Off-Peak,8707937,77880531.6,8.943625982
2015-02,Brooklyn,SBS,All,Peak,5202562,43314681.6,8.325644481
2015-02,Manhattan,LCL/LTD,All,Off-Peak,189766930,1111634442,5.857893375
2015-02,Manhattan,LCL/LTD,All,Peak,97072475,508498390.8,5.238337549
2015-02,Manhattan,SBS,All,Off-Peak,19121095,159558433.2,8.344628443
2015-02,Manhattan,SBS,All,Peak,9480584,69224576.4,7.301720696
2015-02,Queens,EXP,All,Off-Peak,7567225,105723280.8,13.97120884
2015-02,Queens,EXP,All,Peak,14386146,174227086.8,12.11075481
2015-02,Queens,LCL/LTD,All,Off-Peak,363748362,3374112679,9.275952916
2015-02,Queens,LCL/LTD,All,Peak,191403145,1568436908,8.194415554
2015-02,Staten Island,EXP,All,Off-Peak,28817244,482895284.4,16.75716402
2015-02,Staten Island,EXP,All,Peak,25478469,400838101.2,15.73242494
2015-02,Staten Island,LCL/LTD,All,Off-Peak,48203867,581213232,12.05739847
2015-02,Staten Island,LCL/LTD,All,Peak,25820767,299102299.2,11.58378832
